CP014529.1_Enterococcus_faecium_strain_E745__complete_genome	NODE_1_length_986763_cov_43.494015
CP014529.1_Enterococcus_faecium_strain_E745__complete_genome	NODE_2_length_840748_cov_42.698417
CP014529.1_Enterococcus_faecium_strain_E745__complete_genome	NODE_3_length_500609_cov_47.960903
CP014529.1_Enterococcus_faecium_strain_E745__complete_genome	NODE_3_length_500609_cov_47.960903
CP014530.1_Enterococcus_faecium_strain_E745_plasmid_pl1__complete_sequence	NODE_4_length_266941_cov_102.662627
CP014534.1_Enterococcus_faecium_strain_E745_plasmid_pl5__complete_sequence	NODE_4_length_266941_cov_102.662627
CP014530.1_Enterococcus_faecium_strain_E745_plasmid_pl1__complete_sequence	NODE_4_length_266941_cov_102.662627
CP014534.1_Enterococcus_faecium_strain_E745_plasmid_pl5__complete_sequence	NODE_4_length_266941_cov_102.662627
CP014530.1_Enterococcus_faecium_strain_E745_plasmid_pl1__complete_sequence	NODE_4_length_266941_cov_102.662627
CP014529.1_Enterococcus_faecium_strain_E745__complete_genome	NODE_5_length_164595_cov_65.919916
CP014529.1_Enterococcus_faecium_strain_E745__complete_genome	NODE_6_length_150922_cov_42.321628
CP014529.1_Enterococcus_faecium_strain_E745__complete_genome	NODE_7_length_88799_cov_43.513274
CP014535.1_Enterococcus_faecium_strain_E745_plasmid_pl6__complete_sequence	NODE_8_length_62897_cov_74.024920
CP014535.1_Enterococcus_faecium_strain_E745_plasmid_pl6__complete_sequence	NODE_8_length_62897_cov_74.024920
CP014531.1_Enterococcus_faecium_strain_E745_plasmid_pl2__complete_sequence	NODE_9_length_31334_cov_224.503597
CP014531.1_Enterococcus_faecium_strain_E745_plasmid_pl2__complete_sequence	NODE_9_length_31334_cov_224.503597
CP014533.1_Enterococcus_faecium_strain_E745_plasmid_pl4__complete_sequence	NODE_10_length_12383_cov_107.950438
CP014533.1_Enterococcus_faecium_strain_E745_plasmid_pl4__complete_sequence	NODE_10_length_12383_cov_107.950438
CP014532.1_Enterococcus_faecium_strain_E745_plasmid_pl3__complete_sequence	NODE_11_length_9325_cov_146.068608
CP014532.1_Enterococcus_faecium_strain_E745_plasmid_pl3__complete_sequence	NODE_11_length_9325_cov_146.068608
CP014529.1_Enterococcus_faecium_strain_E745__complete_genome	NODE_12_length_5232_cov_70.113772
CP014534.1_Enterococcus_faecium_strain_E745_plasmid_pl5__complete_sequence	NODE_13_length_5228_cov_42.845544
CP014531.1_Enterococcus_faecium_strain_E745_plasmid_pl2__complete_sequence	NODE_14_length_3460_cov_267.035242
CP014529.1_Enterococcus_faecium_strain_E745__complete_genome	NODE_16_length_1429_cov_27.793304
CP014531.1_Enterococcus_faecium_strain_E745_plasmid_pl2__complete_sequence	NODE_17_length_886_cov_350.894103	
CP014529.1_Enterococcus_faecium_strain_E745__complete_genome	NODE_18_length_519_cov_32.366379
